store_id,period,region_type,store_type,business_district_rank,revenue,valid_orders,avg_order_value,store_visitors,order_conversion_rate,search_exposure,search_visitors,refund_amount,refund_orders,promotion_gmv,merchant_subsidy,top10_products
A,2026.3.1~2026.3.31,青岛市区,自营,2,6454.84,207,31.18,522,0.4234,4172,445,1097.97,32,10035,3852.26,隐形眼镜护理液（海俪恩）隐形眼镜多功能护理液（清润）（舒适型）120ml/瓶/盒
B,2026.3.1~2026.3.31,青岛市区,自营,3,11665.5,299,39.02,770,0.3688,4390,683,1254.9,23,13938.4,3154.3,隐形眼镜护理液（海俪恩）隐形眼镜多功能护理液（清润）（舒适型）120ml/瓶/盒
C,2026.3.1~2026.3.31,青岛市区,自营,1,7064.09,175,40.37,516,0.3275,2416,355,529.6,11,5187.3,3153.3,隐形眼镜护理液（海俪恩）隐形眼镜多功能护理液（清润）（舒适型）120ml/瓶/盒
D,2026.3.1~2026.3.31,烟台市区,自营,1,18078.7,404,44.75,842,0.4656,2663,738,1617.49,33,18605.4,2735.4,（爱尔康）隐形眼镜多功能护理液（傲滴）120ml/瓶/盒
E,2026.3.1~2026.3.31,烟台市区,合作,1,5784.87,158,36.61,408,0.3946,2784,355,1105.05,25,5365.63,1543.26,隐形眼镜护理液（海俪恩）隐形眼镜多功能护理液（清润）（舒适型）120ml/瓶/盒
