store_id,period_month,period_start,period_end,region_type,store_type,transaction_amount,transaction_orders,valid_orders,invalid_orders,estimated_income_proxy,average_order_value,exposure_users,exposure_times,store_average_rank,entry_users,entry_times,entry_conversion_rate_pct,order_users,order_times,order_conversion_rate_pct,payment_users,payment_conversion_rate_pct,search_exposure_users,search_average_rank,search_entry_users,search_entry_rate_pct,search_entry_share_pct,merchant_list_exposure_users,merchant_list_average_rank,merchant_list_entry_users,activity_original_transaction_amount,activity_orders,activity_cost,merchant_subsidy_amount,platform_subsidy_amount,activity_cost_ratio_pct,activity_order_share_pct,refund_amount,full_refund_orders,refund_orders_all_or_partial,refund_pressure_pct,invalid_order_pressure_pct,business_district_rank,top3_sku_transaction_amount,top3_sku_transaction_amount_share_pct,comparison_scope_flag,comparison_limit_notes
B,2026-03,2026-03-01,2026-03-31,Qingdao,self-operated,11665.5,299,299,23,8078.26,39.02,5094,24196,15.0,770,2676,15.12,284,336,36.88,280,98.59,4390,15.0,683,15.56,88.7,400,15.0,7,13938.4,265,3361.3,3143.3,218.0,24.12,88.63,1254.9,23,24,10.76,7.14,3,1300.9,11.15,same_period_diagnostic_ready,high_search_entry_dependence; high_activity_involvement; moderate_refund_pressure; compare_with_region_store_type_activity_refund_limits
C,2026-03,2026-03-01,2026-03-31,Qingdao,self-operated,7064.09,175,174,11,5049.65,40.37,2982,15598,16.0,516,1481,17.3,169,188,32.75,166,98.22,2416,13.0,355,14.69,68.8,230,24.0,5,5187.3,124,490.21,463.21,27.0,9.45,70.86,529.6,11,11,7.5,5.95,1,2004.84,28.38,same_period_diagnostic_ready,moderate_activity_involvement; top3_sku_amount_concentration; compare_with_region_store_type_activity_refund_limits
E,2026-03,2026-03-01,2026-03-31,Yantai,partner,5784.87,158,155,25,5337.95,36.61,3347,15667,14.0,408,1400,12.19,161,185,39.46,159,98.76,2784,13.0,355,12.75,87.01,306,16.0,3,5365.63,109,1576.26,1542.26,34.0,29.38,68.99,1105.05,25,29,19.1,13.89,1,726.25,12.55,same_period_diagnostic_ready,high_search_entry_dependence; moderate_activity_involvement; high_refund_pressure; high_invalid_order_pressure; compare_with_region_store_type_activity_refund_limits
F,2026-03,2026-03-01,2026-03-31,Yantai,partner,9301.8,266,266,30,5937.09,34.97,3543,18142,13.0,541,1946,15.27,269,305,49.72,267,99.26,2699,13.0,481,17.82,88.91,481,13.0,8,8291.5,217,1008.3,975.3,33.0,12.16,81.58,987.89,30,33,10.62,10.14,1,1798.4,19.33,same_period_diagnostic_ready,high_search_entry_dependence; high_activity_involvement; moderate_refund_pressure; moderate_invalid_order_pressure; compare_with_region_store_type_activity_refund_limits
D,2026-03,2026-03-01,2026-03-31,Yantai,self-operated,18078.7,404,402,33,12590.34,44.75,6068,32638,8.0,842,3802,13.88,392,451,46.56,385,98.21,2663,13.0,738,27.71,87.65,2828,5.0,36,18605.4,337,2776.4,2732.4,44.0,14.92,83.42,1617.49,33,44,8.95,7.59,1,3055.78,16.9,same_period_diagnostic_ready,high_search_entry_dependence; high_activity_involvement; compare_with_region_store_type_activity_refund_limits
