store_id,period,region_type,store_type,business_district_rank,revenue,valid_orders,avg_order_value,store_visitors,order_conversion_rate,search_exposure,search_visitors,search_visit_share,search_exposure_to_visit_rate,refund_amount,refund_orders,refund_revenue_ratio,refund_order_ratio,promotion_gmv,merchant_subsidy,promotion_gmv_to_revenue_ratio,subsidy_to_revenue_ratio,subsidy_to_promotion_gmv_ratio,revenue_per_visitor,top10_products
D,2026.3.1~2026.3.31,烟台市区,自营,1,18078.7,404,44.75,842,0.4656,2663,738,0.8765,0.2771,1617.49,33,0.0895,0.0817,18605.4,2735.4,1.0291,0.1513,0.147,21.47,（爱尔康）隐形眼镜多功能护理液（傲滴）120ml/瓶/盒
B,2026.3.1~2026.3.31,青岛市区,自营,3,11665.5,299,39.02,770,0.3688,4390,683,0.887,0.1556,1254.9,23,0.1076,0.0769,13938.4,3154.3,1.1948,0.2704,0.2263,15.15,隐形眼镜护理液（海俪恩）隐形眼镜多功能护理液（清润）（舒适型）120ml/瓶/盒
C,2026.3.1~2026.3.31,青岛市区,自营,1,7064.09,175,40.37,516,0.3275,2416,355,0.688,0.1469,529.6,11,0.075,0.0629,5187.3,3153.3,0.7343,0.4464,0.6079,13.69,隐形眼镜护理液（海俪恩）隐形眼镜多功能护理液（清润）（舒适型）120ml/瓶/盒
A,2026.3.1~2026.3.31,青岛市区,自营,2,6454.84,207,31.18,522,0.4234,4172,445,0.8525,0.1067,1097.97,32,0.1701,0.1546,10035.0,3852.26,1.5546,0.5968,0.3839,12.37,隐形眼镜护理液（海俪恩）隐形眼镜多功能护理液（清润）（舒适型）120ml/瓶/盒
E,2026.3.1~2026.3.31,烟台市区,合作,1,5784.87,158,36.61,408,0.3946,2784,355,0.8701,0.1275,1105.05,25,0.191,0.1582,5365.63,1543.26,0.9275,0.2668,0.2876,14.18,隐形眼镜护理液（海俪恩）隐形眼镜多功能护理液（清润）（舒适型）120ml/瓶/盒
